"kapitola";"věta";"rozsudek";"komentář"
"II";"Jdeme ke Krtkovi, maj tam levnej rum.“";"PONECHAT";"Konkrétní, věrohodný detail, dobré zakotvení místa."
"II";"„A co takhle jít zhulení do přírodovědeckého muzea koukat na vycpaný ptáky?“ navrhl Patrik s planoucíma očima.";"PONECHAT";"Absurdní, komický nápad - dobře charakterizuje Patrika, funguje."
"II";"„Budeme lehce intoxikovaní v posvátném tichu těch sálů.";"PONECHAT";"Komický kontrast ""posvátného ticha"" a opilosti, funguje."
"II";"Budeme filozofovat o životě a o taxidermii jako formě umění!“";"PONECHAT";"Absurdní pointa, dobrý závěr Patrikovy tirády, nesahat."
"II";"„Ty jsi fakt retardovanej,"" utrousil Alois.";"PONECHAT";"Krátké, funkční, hovorové."
"II";"„Kdo má lexaurin?";"PONECHAT";"Konkrétní detail (anxiolytikum) - dobře naznačuje míru vyhoření/úzkosti v kolektivu bez přímého vysvětlování."
"II";"Hlavně ať už jdeme, nebo tady s váma zešílím.";"PONECHAT";"Funkční, hovorové."
"II";"Tomáši, ty s náma nejdeš?""";"PONECHAT";"Funkční přechod k dalšímu odstavci."
"II";"Tomáš sám nevěděl, co ještě tak dlouho pohledával v kanceláři, a ještě v pátek.";"PONECHAT";"Funkční, dobrý přechod."
"II";"Své už měl napito před třicítkou a firemních řečí měl plné zuby.";"PONECHAT";"Silná hovorová fráze, dobrá charakterizace únavy."
"II";"U turniketů v přízemí se však zastavil.";"PONECHAT";"Funkční, konkrétní."
"II";"Nemohl najít ID kartu.";"PONECHAT";"Krátké, věcné, nastavuje drobnou zápletku."
"II";"Nejdřív si prohmatal vnější kapsy na kabátu, pak vnitřní a rovnou prohledal i sako a kapsy u kalhot.";"PONECHAT";"Konkrétní tělesná akce, dobré tempo hledání."
"II";"Nic.";"PONECHAT";"Úsporné, dobrý kontrast po výčtu."
"II";"Srdce mu trochu ztěžklo.";"UPRAVIT";"""Trochu"" oslabuje tělesný obraz ""ztěžklo srdce"" - škrtnout, nechat obraz působit naplno."
"II";"Představa, že se musí vrátit nahoru do toho blázince, byla skoro fyzicky bolestivá.";"UPRAVIT";"""Skoro"" je slabá vycpávka, oslabuje jinak silné tvrzení - škrtnout."
"II";"Prohledal tašku, jednou, podruhé, vysypal půlku obsahu na recepční pultík.";"PONECHAT";"Dobré vygradování zoufalství pohybem/opakováním."
"II";"Staré účtenky, dva použité kapesníky, propiska bez víčka, ale karta nikde.";"PONECHAT";"Konkrétní výčet obsahu tašky, dobrá charakterizace i budování napětí."
"II";"Měl jasno, že se bude muset vrátit do kanceláře.";"PONECHAT";"Funkční uzavření odstavce, nastavuje přechod k poslednímu setkání s Martinem."
"II";"Cestou od výtahu narazil na Martina.";"PONECHAT";"Funkční přechod."
"II";"Zvláštní kluk, pomyslel si Tomáš.";"PONECHAT";"Krátké, úsporné, udržuje motiv Martinovy zvláštnosti."
"II";"„Martine, ty jsi ještě tady? Proč jsi s nimi nešel do hospody?“ zeptal se.";"PONECHAT";"Funkční dialog."
"II";"„Nikdo mě nepozval,“ odpověděl Martin a dál tiše zíral před sebe.";"PONECHAT";"Smutná, úsporná pointa kapitoly - Martinova osamělost jako zrcadlo Tomášovy vlastní izolace (viz motiv ""derivace"" výše), silný a tichý konec, nesahat."
"III";"Obdivoval, jak Klára dříve sedávala nad písemkami, běžně i do druhé, třetí hodiny ranní.";"PONECHAT";"Funkční úvod kontrastu minulost/přítomnost."
"III";"Oprava písemek pro ni neznamenala jen součet bodů, kdy jedním tahem červené propisky naškrábala známku a nečitelný podpis.";"PONECHAT";"Konkrétní, přesný obraz dřívější pečlivosti vs. dnešní ledabylosti."
"III";"Dřív v opravených pracích uváděla kromě správného výsledku i postup s vysvětlujícím komentářem, někdy dokonce s odkazem na příslušnou kapitolu v učebnici.";"UPRAVIT";"""Někdy dokonce"" je nadbytečná gradace k už jasné myšlence - zvážit zkrácení."
"III";"Pamatovala si obsah učebnic pro pět ročníků a neobtěžovalo ji šetřit čas studentům, kteří se chtěli látku doučit.";"PONECHAT";"Konkrétní detail profesní obětavosti, funguje jako kontrast k současnému stavu."
"III";"Sedávala shrbená u jídelního stolu v tom, v čem zrovna přišla ze školy.";"PONECHAT";"Dobrý přechod k následujícímu odstavci, tělesný detail (""shrbená"")."
"III";"Sledoval, jak sedí u jídelního stolu, nohy měla položené na desce, přesně tam, kde dříve měla stolní lampičku.";"PONECHAT";"Detail ""kde dříve měla lampičku"" jemně ukazuje změnu - dobrá tichá informace."
"III";"Místo oprav písemek se zaměstnávala balením cigaret.";"PONECHAT";"Úsporný kontrast k předchozímu odstavci."
"III";"Ukládala je do stříbrného pouzdra s hákovým křížem.";"PONECHAT";"Odkaz na nacistickou tabatěrku z kap. I - důležitá stavební linka, nesahat."
"III";"Pravděpodobně ho vyhrabala u rodičů na půdě a nestydí se z něj vyndávat cigarety ani na veřejnosti.";"PONECHAT";"Funkční, dokresluje motiv."
"III";"Tomáš měl větší pochopení pro to, že začala kouřit, než pro její nově nabytý smysl pro humor, připomínající vtipy z České sody.";"PONECHAT";"Konkrétní kulturní odkaz, dobrá ironie."
"III";"Onemocněla, onemocněla hnědým údělem bytí.";"PONECHAT";"Motiv ""hnědého údělu"" se tu vrací (viz i kap. XII) - potvrzuje, že jde o záměrnou, opakovanou metaforu, ne o překlep. Silná, opakující se figura, nesahat."
"III";"Musela sama snášet všechny ty sračky, co ji postihly, překonávat každodenní probuzení, večerní pohledy do stropu s vědomím, že zbývá jen jedna cesta pryč.";"PONECHAT";"Silná předzvěst pozdější sebevraždy, funguje jako temné, ale nutné foreshadowing."
"III";"Výčitky svědomí po tom, co se stalo, musely pokoušet její příčetnost.";"PONECHAT";"Funkční, drží napětí kolem nejasné ""nehody""."
"III";"Existenciální hnus.";"PONECHAT";"Krátká, úderná fráze, dobrý rytmický zlom."
"III";"Tomáš se zamyslel, jak by se dala nazvat jeho zkušenost vlastního neprožívání: neexistenciální hnus, humus nebytí, žlutý úděl nebytí?";"PONECHAT";"Slovní hříčky (""neexistenciální"", ""žlutý úděl"") - první výskyt barevného kódování smutku, klíčové pro pointu kap. III (žluté nehty na konci), nesahat."
"III";"Smutek je přece žlutý.";"PONECHAT";"Krátká, tvrdá teze - zakládá motiv, který se uzavře poslední větou kapitoly (""Žlutá jí vůbec nesluší""). Nesahat, je to stavební kámen celé kapitoly."
"III";"Na druhou stranu, nedokázal Klárce plně odpustit lajdačení – středoškolská učitelka přece není hospodská, je to poslání!";"PONECHAT";"Funkční přechod k satirické odbočce o povolání."
"III";"Kdyby začala starým ožralům točit podmíráky, nic by se nestalo.";"PONECHAT";"Dobrý hovorový obraz, funguje."
"III";"Hned by si řekli, že za tohle nezaplatí, Klárka by se omluvila, dotočila pivo centimetr nad rysku jako kompenzaci a z návštěvníků lokálu by si to nikdo nepamatoval.";"UPRAVIT";"Řetězec tří akcí za sebou (omluva/dotočení/kompenzace) je trochu rozvleklý - zvážit zkrácení, hlavní myšlenka (nízké nároky na hospodskou) je jasná dřív."
"III";"I kdyby si toho nevšimli nebo by se dopouštěla jiné neblahosti v roli servírky, stejně by se nic nestalo.";"SMAZAT";"Opakuje již řečenou myšlenku (nic by se nestalo) potřetí v odstavci - redundantní zesílení, škrtnout."
"III";"Gympl je přece něco jiného než hospoda a pubertální student je taky jiná nátura než štamgast sportbaru.";"PONECHAT";"Funkční přechod, dobré srovnání."
"III";"Mladý student nemá dost zkušeností, aby pochopil, jak je špatnou výukou ožebračován o budoucnost.";"PONECHAT";"Silná formulace (""ožebračován o budoucnost""), nesahat."
"III";"Nechápe to totiž i velká část dospělých, podle nichž je střední pouze otravná sranda.";"PONECHAT";"Funkční rozšíření kritiky na společnost."
"III";"Na známky se přece nikdo neptá a za pětku si člověk víc koupí.";"PONECHAT";"Dobré hovorové klišé, funguje jako citace obecného postoje."
"III";"Hloupost!";"PONECHAT";"Krátká, úderná reakce, dobrý rytmický kontrast."
"III";"Vážil si Klárky, že taková nikdy nebyla, a nejspíš právě proto se stala pedagožkou.";"PONECHAT";"Uzavírá odbočku, funkční."
"III";"Možná jí křivdí.";"PONECHAT";"Krátké, dobrý sebekritický obrat."
"III";"Fakt, že si doma potřebuje víc odpočinout, ještě nemusí znamenat, že se z ní stala čarodějnice před tabulí.";"PONECHAT";"Silná metafora (""čarodějnice před tabulí""), funguje."
"III";"Třeba právě proto doma tak okázale relaxovala.";"UPRAVIT";"""Okázale"" je poněkud nadbytečný přívlastek - zvážit škrtnutí nebo nahrazení konkrétnějším detailem."
"III";"Chtěla jen vypustit páru, aby na place podávala nadstandardní výkon.";"PONECHAT";"Funkční, hovorové ""na place"" dobře charakterizuje jeho myšlení."
"III";"Možné to bylo, ale Tomáš si říkal, že by si to měl raději ověřit.";"PONECHAT";"Funkční přechod k následující myšlence."
"III";"Už delší dobu plánoval schovat se v rohu třídy a sledovat výuku matematiky nebo fyziky, měl teď koneckonců více než jen moře času.";"PONECHAT";"Dobrá, tichá ironie (""moře času"" u mrtvého) - nesahat."
"III";"Otočila hlavou směrem do obývacího pokoje.";"PONECHAT";"Napjatý začátek klíčové scény."
"III";"Dívala se přímo na Tomáše.";"PONECHAT";"Krátké, gradující napětí."
"III";"Snad se mu to zdálo, nebylo přece možné, aby ho viděla.";"PONECHAT";"Funkční pochybnost, drží nejistotu žánru (vidí ho, nebo ne?)."
"III";"Usmála se na něj, opravdu si ho všimla.";"PONECHAT";"Gradace napětí, funguje."
"III";"Tomáš netušil, co to znamená.";"PONECHAT";"Krátké, funkční."
"III";"Vstala od stolu, nezasunula židli a vyšla přímo naproti němu.";"PONECHAT";"Konkrétní pohyb, dobré vygradování."
"III";"„Copak, šmudlo?“";"PONECHAT";"Klíčové oslovení - ""šmudlo"" je oslovení pro zvíře/mazlíčka, ne pro člověka. První signál, že jde o fantazii, kde je Tomáš vnímán jako pes, ne jako duch. Zásadní pro pochopení celé scény, nesahat."
"III";"Hrůzou oněměl.";"PONECHAT";"Krátká, silná reakce."
"III";"„Ach jo.";"PONECHAT";"Krátké, hovorové."
"III";"Dneska se mnou zas nebudeš mluvit?“";"PONECHAT";"Funkční, drží iluzi normální konverzace s domácím mazlíčkem."
"III";"Sedla si k němu na podlahu a chytla ho kolem ramen.";"PONECHAT";"Fyzický kontakt, který v jiných kapitolách není možný - důležitý detail (buď sen, nebo fantazie), nesahat."
"III";"„Prý ses včera zase toulal.";"PONECHAT";"Odkazuje na skutečné bloudění z kap. I - propojuje realitu a fantazii."
"III";"Našli tě v Horních Březanech, jak čumíš do výlohy řeznictví.“";"PONECHAT";"Přesný odkaz na konec kap. I - silná stavební linka mezi kapitolami, nesahat."
"III";"Tomáš zareagoval zdvižením hlavy.";"PONECHAT";"Gesto typické pro psa, ne pro člověka - pokračuje motiv, funguje beze slov."
"III";"„Vyděsil jsi tam prý nějakou babku, ale byla to spíš její chyba.";"PONECHAT";"Funkční, dokresluje scénu z konce kap. I z jiné perspektivy."
"III";"Neznala tě, tak se lekla.";"PONECHAT";"Krátké, funkční."
"III";"Musíš se toulat tady, kde tě znají.“";"PONECHAT";"Pokračuje motiv domácího zvířete, funguje."
"III";"Rysy tváře zkřivila do shovívavého výrazu a Tomáše poplácala po zádech.";"PONECHAT";"Gesto poplácání po zádech - opět spíš k mazlíčkovi než k partnerovi, konzistentní s motivem."
"III";"Ten strachem strnul.";"PONECHAT";"Krátké, funkční."
"III";"„Cos tam vůbec dělal?";"PONECHAT";"Funkční."
"III";"Žrádla máme doma dost.";"PONECHAT";"""Žrádlo"" definitivně potvrzuje motiv - mluví k němu jako ke zvířeti. Klíčové slovo, nesahat."
"III";"Stačilo říct... no, nebo si sednout k misce.";"PONECHAT";"""Miska"" potvrzuje motiv - důležité, nesahat."
"III";"Vždyť víš, že ti vždycky ráda navařím.“";"PONECHAT";"Funkční, groteskně láskyplné zakončení repliky."
"III";"Vyfoukla nosem, ale přemohla se a nedala na sobě nic znát.";"PONECHAT";"Dobrý tělesný detail potlačovaného znechucení."
"III";"„To nic, já to vytřu.“";"PONECHAT";"Funkční přechod k odhalení další groteskní informace."
"III";"Pod Tomášem se objevila žlutá louže moči.";"PONECHAT";"Šokující, groteskní detail potvrzující, že je vnímán jako zvíře - a znovu barva ""žlutá"", motiv smutku/nebytí se line i sem. Nesahat, klíčová věta scény."
"III";"„Jen v tom prosím tě neseď.";"PONECHAT";"Funkční, groteskní."
"III";"Přinesu ti čisté oblečení.“";"PONECHAT";"Funkční."
"III";"Před dveřmi se ještě otočila.";"PONECHAT";"Funkční přechod k poslední replice."
"III";"„Běž si hrát do sklepa.";"PONECHAT";"Pokračuje motiv - mluví k němu jako k dítěti/zvířeti."
"III";"Vem si prosím tě lopatu a krumpáč, ať zase nejsi od hlíny.“";"PONECHAT";"Silný, znepokojivý závěr scény (lopata, krumpáč, hlína - narážka na hrob?) - výborná temná pointa, nesahat."
"III";"* * *";"PONECHAT";"Typografický předěl scény - funkční, odděluje fantazii od reálné návštěvy u Garniera."
"III";"Nejenže ordinace měla naprosto holé stěny s jakousi hnědo-béžovou barvou, místnost byla navíc bez oken a celý prostor byl naplněn pouze třemi kusy secesního nábytku soustředěnými až úplně vzadu, na konci pokoje.";"UPRAVIT";"Věta je přetížená (tři informace najednou: barva stěn, bez oken, rozestavění nábytku) - zvážit rozdělení pro lepší rytmus. Popis ordinace se shoduje s kap. XII (masivní mahagon, secesní nábytek) - důležitá stavební linka mezi kapitolami, obsah zachovat."
"III";"Na jedné straně stála vysoká skříň určená pro šanony a jiné papíry.";"PONECHAT";"Konkrétní prostorový detail."
"III";"Na druhé straně okupovala prostor u rohu robustní komoda.";"UPRAVIT";"""Robustní"" je nadbytečný přívlastek - komoda coby velký kus nábytku to naznačuje sama. Zvážit škrtnutí."
"III";"Celé místnosti dominoval stůl pečlivě postavený uprostřed proti vstupním křídlovým dveřím, dva metry od nejvzdálenější stěny.";"UPRAVIT";"""Pečlivě"" a přesná vzdálenost ""dva metry"" působí zbytečně technicky/geometricky - zredukovat na hlavní obraz (stůl uprostřed místnosti)."
"III";"Kolem stolu byly ještě tři kůží polstrované židle.";"PONECHAT";"Konkrétní, funkční."
"III";"Dvě pro pacienty a třetí byla vyhrazena pouze doktoru Garnierovi.";"PONECHAT";"Dobrý detail mocenské asymetrie v místnosti."
"III";"Všechny kusy byly vyrobené z masivního mahagonu a nádherně spolu ladily.";"UPRAVIT";"""Nádherně"" je generický, chválicí přívlastek nesoucí málo informace - škrtnout nebo nahradit konkrétnějším pozorováním."
"III";"Za stolem seděl muž staršího středního věku, golemovské postavy.";"PONECHAT";"""Golemovské postavy"" je silná, originální metafora (i s pražsko-židovskou konotací) - nesahat."
"III";"Bílý plášť, černý rolák, šedivé vlasy krátkého střihu a úsměv od ucha k uchu; každý v okolí věděl, že to je sám doktor Garnier.";"UPRAVIT";"Výčet čtyř vzhledových detailů (plášť/rolák/vlasy/úsměv) je na hranici přetížení - zvážit zredukovat na dva až tři nejvýraznější."
"III";"Garnier zvedl medvědí tlapu a nečekaně se zeptal: „Koukal jste včera na Spartu?“";"PONECHAT";"Absurdní, komický odklon od očekávaného tématu - dobře zavádí Garnierovu charakteristickou taktiku vyhýbání se podstatě, nesahat."
"III";"„Nesleduji fotbal.“";"PONECHAT";"Krátké, funkční."
"III";"„To já taky ne, ale zápas s Vítkovicemi prý stál za to.";"PONECHAT";"Absurdní pokračování i přes odmítnutí - dobrá komika."
"III";"Sparta vyhrála tři dva, třetí gól dali tři minuty před koncem.“";"PONECHAT";"Konkrétní, zbytečné detaily jako komický prostředek - záměrná otravnost funguje."
"III";"Tomáš popíjel espresso, které mu při příchodu nabídl, chutnalo mu.";"PONECHAT";"Drobný detail pohostinnosti, dobrý kontrast k absurditě rozhovoru."
"III";"„Prý se střílely i penalty, teď tedy nevím kdo, ale netrefili se.";"PONECHAT";"Pokračuje komická otravnost, funguje."
"III";"Jeden prý kopl vysoko nad bránu.";"PONECHAT";"Funkční pokračování gagu."
"III";"Další trefil tyč...“";"PONECHAT";"Přerušená věta, dobře simuluje pokračující monolog, který Tomáš přeruší."
"III";"„Máte výsledky?“ skočil mu do řeči Tomáš.";"PONECHAT";"Funkční, ukazuje jeho netrpělivost."
"III";"„Ano, výsledky mám.";"PONECHAT";"Krátké, funkční."
"III";"Mám je tady v deskách.“";"PONECHAT";"Funkční, zavádí falešnou naději na rychlé řešení."
"III";"„To jsem rád, doktore,“ Tomáš trochu ustoupil.";"PONECHAT";"Funkční gesto."
"III";"„Pak tam byla ještě nějaká strkanice u lajny, ale bez karet, pokud vím... No nic, tak jdeme na to,“ usmál se Garnier od ucha k uchu.";"PONECHAT";"Garnier se stále vrací k fotbalu navzdory přerušení - dobrá komická vytrvalost postavy."
"III";"„Tomáši, kde začneme?";"PONECHAT";"Funkční přechod k vlastnímu sezení."
"III";"Nuže, tak mi řekněte, jak jste se měl.";"PONECHAT";"Funkční, zavádí následující meditaci o frázi ""jak se máte""."
"III";"Jak to jde s Klárkou, co v práci a hlavně, jak se daří vám?“";"PONECHAT";"Funkční, tři otázky najednou dobře simulují povrchní zdvořilostní frázi."
"III";"Jak se daří? Jak se máte? Jak se cítíte?";"PONECHAT";"Silný rytmický úvod do meditace o prázdné frázi - opakování bez adjektiv, přesně ten typ poetičnosti skrz rytmus, který chceš, nesahat."
"III";"Tomáš tuhle frázi nesnášel od doby, co si osvojil rodný jazyk.";"PONECHAT";"Funkční, mírně nadsazené (""od doby, co si osvojil jazyk"") pro komický efekt."
"III";"Snad všichni lidé na světě nemají rádi tuhle frázi.";"PONECHAT";"Funkční přechod k závěrečné anafoře."
"III";"Nesnášíme, když se nás na to někdo ptá, nesnášíme, když ji někdo používá místo pozdravu, nesnášíme, když se od nás očekává, nesnášíme, když na ni musíme odpovědět, nesnášíme, když na ni někdo odpoví upřímně, a nejvíc ze všeho nesnášíme, když se nás nezeptají: Jak se máme?";"PONECHAT";"Vrcholná ukázka poetičnosti bez adjektiv - anaforické opakování ""nesnášíme"" a paradoxní pointa. Přesně ten typ minimalistické poetičnosti, který chceš rozvíjet, nesahat ani slovo."
"III";"Tomáš se nadechl, hodlal to říct na jeden dech.";"PONECHAT";"Funkční, zavádí následující tirádu."
"III";"„Mám se skvěle, s Klárkou nám to perfektně klape, plánujeme spolu rodinu a pak se možná vezmeme.";"PONECHAT";"Klíčová věta - kontrastuje s tím, co čtenář už ví (viz kap. II, kde Tomáš říká, že rodinu vůbec nechce) - odhaluje jeho sebeklam, nesahat."
"III";"V práci je to taky dobrý, vyřešil jsem problém s Kouckým a Křivka mi slibuje povýšení na produkťáka, je to férový chlap.";"PONECHAT";"Ironický kontrast k tomu, co čtenář viděl v kap. II (Křivka jako tyran) - důkaz Tomášova sebeklamu, nesahat."
"III";"Žádné velké průšvihy nebo tak něco.";"PONECHAT";"Funkční, hovorové zlehčování."
"III";"Vyfasoval jsem konečně nový monitor, dobře spím.";"PONECHAT";"Banalita (nový monitor) vedle vážného tvrzení (dobře spím) je dobrá ironie - sebeklam skrz triviality."
"III";"Objektivně se mám vlastně dobře.“";"PONECHAT";"Klíčová uzavírací věta popírání - ""objektivně"" je ironicky nejméně objektivní slovo v odstavci, nesahat."
"III";"Garnier chvíli nic neříkal a pozoroval Tomáše.";"PONECHAT";"Funkční, buduje napětí před konfrontací."
"III";"Narovnal si brýle a pak spustil: „To myslíte vážně?“";"PONECHAT";"Dobrá, úsporná konfrontace."
"III";"„Co?“";"PONECHAT";"Krátké, funkční."
"III";"„Dítě?“";"PONECHAT";"Krátké, úderné - Garnier jde rovnou na jádro sebeklamu."
"III";"„Co by ne, jsme spolu dlouho, je mi dávno přes třicet a ani Klára nemládne, máme stabilní zaměstnání…“";"PONECHAT";"Funkční obranná reakce, drží linii sebeklamu."
"III";"„A co ta chyba s Kouckým?“";"PONECHAT";"Garnier mění téma nečekaně - dobrá dramatická taktika, udržuje čtenáře v napětí."
"III";"„Prosím?“";"PONECHAT";"Krátké, funkční zmatení."
"III";"Tomáš si nepamatoval, že by Garnierovi říkal něco o Kouckém a jeho škodovce.";"PONECHAT";"Funkční, zavádí otázku, odkud to Garnier ví (nadpřirozená vševědoucnost postavy?)."
"III";"„S Kouckým jsme to dávno vyřešili, i Křivka to nechal být.";"PONECHAT";"Funkční."
"III";"Nevím, proč bych měl sjednání pojistky našeho klienta řešit zrovna s vámi.“";"PONECHAT";"Funkční, dobrá obranná reakce."
"III";"„Nejde jen o jednu pojistku.";"PONECHAT";"Funkční přechod k absurdní tirádě."
"III";"Vždyť víte, že jste zapomětlivý a nepozorný, jak to budete zvládat s dítětem?";"PONECHAT";"Funkční, útočí přímo na jeho nejistotu."
"III";"Co když ho zapomenete přebalit, zapomenete přivrtat vysokou komodu ke zdi, protože si řeknete, zrovna budete myslet na životní pojištění?";"PONECHAT";"Absurdní katastrofický scénář, dobrá komika i hrozba zároveň."
"III";"Dítě pak otevře všechny šuplíky, aby na ni vylezlo jako po schodech, jenže se pak přenese těžiště a komoda spadne na dítě a…“";"PONECHAT";"Vygradovaná, děsivá pointa přerušená uprostřed věty - výborný dramatický efekt, nesahat."
"III";"„Prosím, co to má znamenat, jsme tu přece kvůli Klářině diagnóze,“ přerušil ho Tomáš podrážděně.";"PONECHAT";"Funkční, ukazuje jeho frustraci."
"III";"„Promiňte, máte pravdu.“";"PONECHAT";"Krátké, funkční."
"III";"Garnier si srovnal papíry na stole.";"PONECHAT";"Krátké gesto, dobrý rytmický oddech po tiradě."
"III";"„Promiňte, nechal jsem se unést, mám jen obavu o Kláru, vždyť víte.“";"PONECHAT";"Funkční, ukazuje Garnierovu manipulativní/empatickou dvojznačnost."
"III";"Tomáš si povzdechl.";"PONECHAT";"Krátké, funkční přechodové gesto."
"III";"Nesnášel setkání s Garnierem, hlavně proto, že mu doktor říkal pravdu bez obalu a stavěl ho před realitu, kterou se Tomáš snažil zamaskovat sny a nadějí.";"PONECHAT";"Klíčová věta charakterizující dynamiku Tomáš/Garnier napříč celou knihou, nesahat."
"III";"Ještě před rokem žil v patrovém domě na předměstí, měli dvě auta a dvorek s hliníkovou popelnicí s umazaným víkem.";"PONECHAT";"Doslovný odkaz na popelnici z kap. I - silná stavební linka mezi kapitolami, nesahat."
"III";"Když s Klárkou začali plánovat dítě, poprvé v životě se mu zamlouvala myšlenka manželského života.";"PONECHAT";"Funkční, prohlubuje charakterizaci vztahu."
"III";"A najednou se to všechno posralo.";"PONECHAT";"Vulgární, úsečný kontrast k předchozí lyričtější větě - dobrý pád z patosu do syrovosti, funguje jako pointa odstavce."
"III";"„Doktore, co s ní je?“ naléhal Tomáš.";"PONECHAT";"Funkční, ukazuje jeho úzkost."
"III";"„Udělali jsme komplexní analýzu osobnosti, budu ji teprve vyhodnocovat.";"PONECHAT";"Funkční byrokratická fráze, charakterizuje Garniera."
"III";"Raději mi řekněte, co váš žlučník, byl jste na vyšetření?“";"PONECHAT";"Další odklon od tématu - pokračuje charakteristickou Garnierovu taktiku vyhýbání se, zároveň váže žlučníkový motiv napříč knihou."
"III";"„Ano, byl.";"PONECHAT";"Krátké, funkční."
"III";"Není to nic vážného, jen biliární… dys… dys-něco.“";"PONECHAT";"Komické zadrhávání u odborného termínu, dobrá charakterizace Tomáše jako laika."
"III";"„Biliární dyskineze,“ napověděl mu Garnier.";"PONECHAT";"Funkční, ukazuje Garnierovu (zdánlivou) erudici."
"III";"„Děkuju, přesně tak.";"PONECHAT";"Krátké, funkční."
"III";"Vlastně to nic vážného není, jen se musím vyhýbat tučné stravě.“";"PONECHAT";"Funkční, zavádí následující absurdní kulinářskou tirádu."
"III";"„Ano, to byste měl.";"PONECHAT";"Funkční přechod."
"III";"Osobně bych vám doporučil zaměnit celou masitou stravu za vnitřnosti.";"PONECHAT";"Absurdní, kontraintuitivní rada (vnitřnosti jsou tučné) - dobrá Garnierova nekompetentnost/absurdita, zároveň váže motiv vnitřností z úvodu knihy (ledviny, játra v lednici v kap. XII)."
"III";"Už jste měl foie gras?";"PONECHAT";"Funkční pokračování gagu."
"III";"Husí játra na másle jsou opravdu delikátní záležitost.";"UPRAVIT";"""Opravdu"" je slabá vycpávka - škrtnout."
"III";"A co ovar?";"PONECHAT";"Funkční pokračování výčtu."
"III";"Jíte ovar s vnitřnostmi?“";"PONECHAT";"Uzavírá první vlnu kulinářské tirády, dobré tempo."
"III";"„Pane Garniere,“ Tomáš přestal chápat význam konverzace.";"PONECHAT";"Funkční, ukazuje jeho rostoucí zmatení."
"III";"„Můžeme se vrátit tam, kde jsme skončili?“";"PONECHAT";"Funkční pokus vrátit rozhovor k tématu."
"III";"„A co do polévky?";"PONECHAT";"Garnier ignoruje žádost a pokračuje - dobrá komická vytrvalost."
"III";"Dáváte vnitřnosti i do polévek?“ nedal se odbýt doktor.";"PONECHAT";"Funkční, ""nedal se odbýt"" potvrzuje charakterizaci."
"III";"„Cože… no, ano.";"PONECHAT";"Krátké, funkční, ukazuje, jak se Tomáš nechává vtáhnout."
"III";"Hlavně do kuřecích.";"PONECHAT";"Funkční pokračování."
"III";"Normální maso už ani nepoužívám.";"PONECHAT";"Funkční, absurdní detail domácí kuchyně."
"III";"Hodím tam skelety, mrkev, a zbytek hrnce po okraj doplním kuřecími srdci a pupky...“";"PONECHAT";"Konkrétní, groteskní kuchyňský detail, dobrá atmosféra."
"III";"Tomáš se ušklíbl.";"PONECHAT";"Krátké gesto, dobrý kontrast k jeho vlastnímu popisu."
"III";"„Někdy tam hodím i celé hovězí srdce.";"PONECHAT";"Funkční pokračování groteskního výčtu."
"III";"Jen tak, prostě vezmu hovězí srdce a hodím ho do kuřecího vývaru.“";"SMAZAT";"Doslovně opakuje předchozí větu (hovězí srdce do vývaru) - redundantní zdvojení stejné informace, škrtnout."
"III";"„Doporučuju zkusit haggis, znáte haggis?“";"PONECHAT";"Vrcholí kulinářskou tiradu absurdní, exotickou pointou (skotský vnitřnostový pokrm), dobré zakončení gagu."
"III";"„Pane doktore Garniere… vážím si toho a rád si o receptech budu povídat dále, ale můžeme se vrátit k tomu mému problému?";"PONECHAT";"Funkční, zdvořilé, ale naléhavé přerušení."
"III";"Máte ty výsledky?“";"PONECHAT";"Opakovaná otázka - dobře ukazuje frustraci z opakovaného odbíjení, funguje jako refrén kapitoly."
"III";"Pan doktor Garnier posunul koutky úst dolů a svraštil čelo.";"UPRAVIT";"Dva popisy výrazu obličeje vedle sebe (koutky/čelo) - zvážit ponechat jen jeden, silnější."
"III";"Muži na sebe nějakou dobu hleděli.";"PONECHAT";"Krátké, buduje napětí před vážným obratem scény."
"III";"Oči doktora Garniera byly výrazné, jako by nepatřily člověku, ale dravci.";"PONECHAT";"Silné, znepokojivé přirovnání - první náznak, že Garnier není úplně ""normální"" postava, důležité pro pozdější nejednoznačnost (Bůh/doktor v kap. XII)."
"III";"„Nuže dobrá,“ řekl Garnier pomalu.";"PONECHAT";"Funkční, signalizuje změnu tónu."
"III";"„Nechtěl jsem to hned na vás vychrlit.";"PONECHAT";"Funkční."
"III";"Přestaneme chodit kolem vařícího vývaru a pojďme si to říct na rovinu.";"PONECHAT";"Dobrá slovní hříčka (""chodit kolem horké kaše"" přetavené na ""vařící vývar"" - odkaz na předchozí kulinářskou tiradu), nesahat."
"III";"Ptal jsem se vás, jak se cítíte.";"PONECHAT";"Funkční rekapitulace."
"III";"Neodpověděl jste a pak jste se mě zeptal na výsledky komplexu.";"PONECHAT";"Funkční."
"III";"Ptám se naposledy: jste ve všem otevřený?“";"PONECHAT";"Dobrá, přímá konfrontační otázka, zlom scény."
"III";"Tomáš se podíval na strop.";"PONECHAT";"Krátké gesto vyhýbání se, funguje beze slov."
